Date,HomeTeam,AwayTeam,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM,outcome_by_HOME
21/11/2015,Chelsea,Norwich,6.384,4.318,7.6,1,20,1,0,1
21/11/2015,Everton,Aston Villa,6.421,3.755,5.8,11,17,-1,-1,1
21/11/2015,Man City,Liverpool,6.506,3.613,5.041,2,6,1,-1,0
21/11/2015,Newcastle,Leicester,7.056,3.392,2.57,15,14,-1,0,0
21/11/2015,Southampton,Stoke,6.433,3.596,5.818,7,9,0,1,0
21/11/2015,Swansea,Bournemouth,6.628,3.316,4.144,8,20,-1,1,2
21/11/2015,Watford,Man United,8.269,3.475,2.254,20,4,-1,-1,0
21/11/2015,West Brom,Arsenal,10.233,4.524,2.091,13,3,-1,1,1
22/11/2015,Tottenham,West Ham,6.338,3.812,5.688,5,12,0,1,1
23/11/2015,Crystal Palace,Sunderland,6.098,3.657,5.957,10,16,1,1,0
28/11/2015,Aston Villa,Watford,7.984,3.139,2.78,17,20,0,-1,0
28/11/2015,Bournemouth,Everton,8.137,3.392,2.521,20,11,0,0,2
28/11/2015,Crystal Palace,Newcastle,7.295,3.566,4.786,10,15,-1,1,1
28/11/2015,Leicester,Man United,8.078,3.355,2.462,14,4,1,-1,2
28/11/2015,Man City,Southampton,7.224,3.912,5.553,2,7,0,1,1
28/11/2015,Sunderland,Stoke,8.275,3.23,2.515,16,9,-1,1,1
29/11/2015,Liverpool,Swansea,7.077,4.069,6.776,6,8,1,-1,1
29/11/2015,Norwich,Arsenal,10.402,4.382,2.043,20,3,0,1,2
29/11/2015,Tottenham,Chelsea,7.79,3.246,2.817,5,1,-1,-1,2
29/11/2015,West Ham,West Brom,7.501,3.219,3.646,12,13,0,1,2
5/12/2015,Arsenal,Sunderland,6.974,5.24,11.193,3,16,0,-1,1
5/12/2015,Chelsea,Bournemouth,6.936,4.562,8.237,1,20,1,-1,0
5/12/2015,Man United,West Ham,6.934,4.041,7.827,4,12,1,0,2
5/12/2015,Southampton,Aston Villa,6.96,3.845,6.565,7,17,0,1,2
5/12/2015,Stoke,Man City,9.723,3.995,2.085,9,2,-1,0,1
5/12/2015,Swansea,Leicester,7.763,3.271,2.684,8,14,-1,1,0
5/12/2015,Watford,Norwich,7.332,3.216,3.432,20,20,-1,-1,1
5/12/2015,West Brom,Tottenham,9.117,3.606,2.172,13,5,1,-1,2
6/12/2015,Newcastle,Liverpool,10.125,4.273,2.062,15,6,1,1,1
7/12/2015,Everton,Crystal Palace,7.056,3.301,3.52,11,10,-1,1,2
12/12/2015,Bournemouth,Man United,8.561,3.329,2.415,20,4,-1,1,1
12/12/2015,Crystal Palace,Southampton,7.979,3.165,2.882,10,7,-1,-1,1
12/12/2015,Man City,Swansea,7.313,5.032,9.573,2,8,-1,0,1
12/12/2015,Norwich,Everton,8.24,3.351,2.564,20,11,0,1,2
12/12/2015,Sunderland,Watford,8.178,3.157,2.689,16,20,-1,1,0
12/12/2015,West Ham,Stoke,8.016,3.148,2.838,12,9,0,1,2
13/12/2015,Aston Villa,Arsenal,11.004,4.377,2.079,17,3,0,1,0
13/12/2015,Liverpool,West Brom,7.26,4.15,8.18,6,13,1,0,2
13/12/2015,Tottenham,Newcastle,7.407,4.577,7.911,5,15,-1,0,0
14/12/2015,Leicester,Chelsea,8.202,3.388,2.438,14,1,-1,1,1
19/12/2015,Chelsea,Sunderland,7.178,4.844,10.134,1,16,-1,1,1
19/12/2015,Everton,Leicester,7.559,3.393,3.344,11,14,-1,-1,0
19/12/2015,Man United,Norwich,7.161,4.037,7.228,4,20,1,0,0
19/12/2015,Newcastle,Aston Villa,7.365,3.247,3.71,15,17,-1,1,2
19/12/2015,Southampton,Tottenham,7.942,3.235,2.74,7,5,-1,1,0
19/12/2015,Stoke,Crystal Palace,7.792,3.127,2.992,9,10,1,1,0
19/12/2015,West Brom,Bournemouth,7.856,3.158,2.878,13,20,0,-1,0
20/12/2015,Swansea,West Ham,7.315,3.189,3.535,8,12,-1,1,2
20/12/2015,Watford,Liverpool,8.915,3.499,2.219,20,6,-1,0,1
21/12/2015,Arsenal,Man City,7.572,3.325,2.931,3,2,0,1,1
26/12/2015,Aston Villa,West Ham,7.83,3.15,2.767,17,12,0,1,2
26/12/2015,Bournemouth,Crystal Palace,7.671,3.242,2.913,20,10,-1,0,2
26/12/2015,Chelsea,Watford,7.162,4.082,6.767,1,20,1,1,2
26/12/2015,Liverpool,Leicester,7.45,3.507,3.647,6,14,-1,1,1
26/12/2015,Man City,Sunderland,7.199,6.082,13.055,2,16,-1,-1,1
26/12/2015,Newcastle,Everton,8.384,3.447,2.363,15,11,-1,1,0
26/12/2015,Southampton,Arsenal,8.639,3.472,2.279,7,3,0,-1,1
26/12/2015,Stoke,Man United,8.335,3.227,2.47,9,4,1,-1,1
26/12/2015,Swansea,West Brom,7.419,3.168,4.034,8,13,1,0,1
26/12/2015,Tottenham,Norwich,7.055,4.157,7.098,5,20,-1,1,1
28/12/2015,Arsenal,Bournemouth,7.277,4.282,7.247,3,20,-1,-1,1
28/12/2015,Crystal Palace,Swansea,7.714,3.212,3.716,10,8,1,-1,2
28/12/2015,Everton,Stoke,7.648,3.331,3.841,11,9,1,-1,0
28/12/2015,Man United,Chelsea,8.013,3.162,2.871,4,1,-1,-1,2
28/12/2015,Norwich,Aston Villa,7.715,3.272,3.621,20,17,-1,-1,1
28/12/2015,Watford,Tottenham,8.957,3.44,2.283,20,5,1,1,0
28/12/2015,West Brom,Newcastle,7.807,3.151,3.416,13,15,1,-1,1
28/12/2015,West Ham,Southampton,8.625,3.337,2.372,12,7,1,1,1
29/12/2015,Leicester,Man City,9.133,3.943,2.114,14,2,-1,1,2
30/12/2015,Sunderland,Liverpool,9.811,3.932,2.117,16,6,1,1,0
2/1/2016,Arsenal,Newcastle,7.126,5.26,10.3,3,15,0,0,1
2/1/2016,Leicester,Bournemouth,7.31,3.407,3.838,14,20,-1,-1,2
2/1/2016,Man United,Swansea,7.073,3.704,6.476,4,8,1,1,1
2/1/2016,Norwich,Southampton,8.172,3.326,2.458,20,7,0,0,1
2/1/2016,Sunderland,Aston Villa,7.668,3.12,3.004,16,17,1,0,1
2/1/2016,Watford,Man City,9.689,4.007,2.079,20,2,0,-1,0
2/1/2016,West Brom,Stoke,7.893,3.083,2.774,13,9,0,1,1
2/1/2016,West Ham,Liverpool,8.771,3.506,2.252,12,6,1,0,1
3/1/2016,Crystal Palace,Chelsea,8.675,3.426,2.299,10,1,0,0,0
3/1/2016,Everton,Tottenham,7.904,3.334,2.641,11,5,-1,-1,2
12/1/2016,Aston Villa,Crystal Palace,8.136,3.171,2.57,17,10,0,0,1
12/1/2016,Bournemouth,West Ham,7.374,3.345,3.671,20,12,-1,0,0
12/1/2016,Newcastle,Man United,9.622,3.778,2.139,15,4,0,1,2
13/1/2016,Chelsea,West Brom,7.048,4.064,7.638,1,13,-1,1,2
13/1/2016,Liverpool,Arsenal,8.007,3.317,2.573,6,3,0,0,2
13/1/2016,Man City,Everton,7.122,4.17,5.825,2,11,-1,0,2
13/1/2016,Southampton,Watford,7.334,3.237,3.866,7,20,0,0,1
13/1/2016,Stoke,Norwich,7.35,3.177,3.829,9,20,0,1,1
13/1/2016,Swansea,Sunderland,7.195,3.387,4.649,8,16,-1,0,0
13/1/2016,Tottenham,Leicester,7.1,3.51,4.518,5,14,0,1,0
16/1/2016,Aston Villa,Leicester,8.039,3.351,2.357,17,14,-1,1,2
16/1/2016,Bournemouth,Norwich,6.834,3.317,4.123,20,20,1,1,1
16/1/2016,Chelsea,Everton,6.784,3.512,4.325,1,11,1,-1,2
16/1/2016,Man City,Crystal Palace,6.641,4.509,7.922,2,10,-1,1,1
16/1/2016,Newcastle,West Ham,7.319,3.228,2.838,15,12,-1,-1,1
16/1/2016,Southampton,West Brom,6.719,3.357,5.091,7,13,0,1,1
16/1/2016,Tottenham,Sunderland,6.626,4.54,8.513,5,16,-1,-1,1
17/1/2016,Liverpool,Man United,7.149,3.144,3.166,6,4,0,1,0
17/1/2016,Stoke,Arsenal,8.574,3.586,2.19,9,3,0,-1,2
18/1/2016,Swansea,Watford,7.06,3.135,3.107,8,20,0,1,1
23/1/2016,Crystal Palace,Tottenham,8.251,3.35,2.336,10,5,1,-1,0
23/1/2016,Leicester,Stoke,7.161,3.215,3.613,14,9,1,0,1
23/1/2016,Man United,Southampton,7.033,3.229,4.299,4,7,-1,-1,0
23/1/2016,Norwich,Liverpool,8.751,3.526,2.211,20,6,1,1,0
23/1/2016,Sunderland,Bournemouth,7.817,3.22,2.555,16,20,1,-1,2
23/1/2016,Watford,Newcastle,7.171,3.257,3.558,20,15,1,-1,1
23/1/2016,West Brom,Aston Villa,7.21,3.066,3.62,13,17,-1,-1,2
23/1/2016,West Ham,Man City,9.361,4.021,2.084,12,2,0,1,2
24/1/2016,Arsenal,Chelsea,7.195,3.265,3.607,3,1,1,-1,0
24/1/2016,Everton,Swansea,6.941,3.501,4.932,11,8,1,-1,0
2/2/2016,Arsenal,Southampton,7.301,3.368,4.715,3,7,-1,0,2
2/2/2016,Crystal Palace,Bournemouth,7.766,3.121,3.047,10,20,1,1,0
2/2/2016,Leicester,Liverpool,7.811,3.207,2.783,14,6,-1,-1,1
2/2/2016,Man United,Stoke,7.253,3.43,5.311,4,9,0,-1,1
2/2/2016,Norwich,Tottenham,9.223,3.733,2.138,20,5,-1,-1,0
2/2/2016,Sunderland,Man City,11.467,4.862,2.104,16,2,1,1,0
2/2/2016,West Brom,Swansea,7.88,2.99,2.983,13,8,1,1,2
2/2/2016,West Ham,Aston Villa,7.377,3.28,4.165,12,17,-1,-1,1
3/2/2016,Everton,Newcastle,7.177,3.71,4.81,11,15,1,1,1
3/2/2016,Watford,Chelsea,8.979,3.485,2.223,20,1,-1,1,2
6/2/2016,Aston Villa,Norwich,7.302,3.116,3.062,17,20,-1,-1,1
6/2/2016,Liverpool,Sunderland,6.706,4.14,7.406,6,16,0,-1,2
