Season,date,HomeTeam,AwayTeam,FTHG,FTAG,Ave L5 Goals,Ave L5 Away,Ave L5 HS,Ave L5 AS,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Result
2000-01,########,SouthamptonH,NewcastleA,2,0,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,SunderlandH,DerbyA,2,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,1
2000-01,########,ChelseaH,LeicesterA,0,2,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,ManCityH,MiddlesbroughA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,WestHamH,LiverpoolA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,BradfordH,SouthamptonA,0,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,CoventryH,WestHamA,0,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,0
2000-01,########,DerbyH,LeedsA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,IpswichH,ArsenalA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,LiverpoolH,SunderlandA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,ManUnitedH,ChelseaA,3,3,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
2000-01,########,MiddlesbroughH,AstonVillaA,1,1,1.521546,1.145627,13.48441,10.58403,6.19,4.8,6.10545,4.776679,11.43219,11.95374,1.405703,1.749049,0.063371,0.090494,2
