,HomeTeam,AwayTeam,Ave L5 HG,Ave L5 AG,Ave L5 HST,Ave L5 AST,Ave L5 HC,Ave L5 AC,Ave L5 HF,Ave L5 AF,Ave L5 HY,Ave L5 AY,Ave L5 HR,Ave L5 AR,Home-AwayG,Home-AwaySHTT,Home-AwayCorners,Home-AwayFouls,SumofAdvantages,Result
399,FulhamH,DerbyA,1.521546,0.6,6.19,3,6.10545,3.8,11.43219,14,1.405703,2,0.063371,0.4,0.921546,3.19,2.30545,-2.56781,3.849186,2
400,IpswichH,CharltonA,1.6,1,9.2,5,9,4,15.8,14.2,0.6,2,0,0,0.6,4.2,5,1.6,11.4,0
401,SouthamptonH,ChelseaA,1,1.8,4,5.4,6.8,4.4,15,17,1.2,2.8,0,0,-0.8,-1.4,2.4,-2,-1.8,0
402,WestHamH,LeedsA,1.2,1.4,8.2,3.8,5.4,4,16,18,2.6,2.6,0.2,0.6,-0.2,4.4,1.4,-2,3.6,2
403,AstonVillaH,ManUnitedA,1.6,1.4,3.8,6.2,5,5.8,9.8,16.4,0.8,1.8,0,0,0.2,-2.4,-0.8,-6.6,-9.6,2
404,NewcastleH,SunderlandA,1.2,0.8,4.8,3.2,7,4.8,14.6,17.2,1.2,1.6,0.2,0.2,0.4,1.6,2.2,-2.6,1.6,2
405,BoltonH,LiverpoolA,1.521546,2.4,6.19,8.6,6.10545,5.6,11.43219,12.6,1.405703,1.6,0.063371,0,-0.878454,-2.41,0.50545,-1.16781,-3.950814,1
406,ChelseaH,ArsenalA,1,1.8,5.4,7,8.4,6.2,16.2,14.4,2.2,2.8,0.2,0.2,-0.8,-1.6,2.2,1.8,1.6,2
407,DerbyH,WestHamA,1.2,0.6,3.2,5,3.8,5.6,16.2,13.4,2,2.4,0,0,0.6,-1.8,-1.8,2.8,-0.2,2
408,LeedsH,BoltonA,2.6,1.145627,8.2,4.8,9,4.776679,17,11.95374,1.6,1.749049,0,0.090494,1.454373,3.4,4.223321,5.04626,14.123954,2
409,LeicesterH,IpswichA,1.2,1,6,6,6.4,6.4,16.8,15.6,3,1.2,0.2,0.2,0.2,0,0,1.2,1.4,2
410,LiverpoolH,AstonVillaA,2.2,1.2,6.8,4.4,5.2,3.8,13.4,14.6,1.2,2.4,0.2,0.2,1,2.4,1.4,-1.2,3.6,0
411,ManUnitedH,EvertonA,2.4,1.2,8,3.6,7.4,3,12,15.4,0.4,2,0.2,0.2,1.2,4.4,4.4,-3.4,6.6,1
412,MiddlesbroughH,NewcastleA,0.8,1.2,3.4,3.6,3.8,4.8,12.4,16.4,1,2.8,0.4,0.2,-0.4,-0.2,-1,-4,-5.6,0
413,SunderlandH,BlackburnA,1.6,1.145627,7,4.8,4,4.776679,15.4,11.95374,1.8,1.749049,0,0.090494,0.454373,2.2,-0.776679,3.44626,5.323954,1
414,CharltonH,FulhamA,1.4,1.145627,6,4.8,5.2,4.776679,14.2,11.95374,1.2,1.749049,0.2,0.090494,0.254373,1.2,0.423321,2.24626,4.123954,2
415,TottenhamH,SouthamptonA,1,0.2,3,4.2,3.8,2.8,13.4,18,1.2,1.4,0.2,0.2,0.8,-1.2,1,-4.6,-4,1
416,BoltonH,SouthamptonA,1.521546,0.4,6.19,4.8,6.10545,2.2,11.43219,18.8,1.405703,1.2,0.063371,0.2,1.121546,1.39,3.90545,-7.36781,-0.950814,0
417,DerbyH,LeicesterA,1.2,0.8,3.8,3.6,4.4,3.8,16,18,3,2.4,0,0.2,0.4,0.2,0.6,-2,-0.8,0
418,EvertonH,LiverpoolA,1.6,2.4,7.6,9.2,5,5,16.6,12.2,2.2,1.4,0,0,-0.8,-1.6,0,4.4,2,0
419,FulhamH,ArsenalA,1.521546,2,6.19,6.4,6.10545,6,11.43219,15.8,1.405703,2.8,0.063371,0.2,-0.478454,-0.21,0.10545,-4.36781,-4.950814,0
420,MiddlesbroughH,WestHamA,1,0.4,4.2,4,4.4,4.8,14,16.2,1.4,3,0.4,0.2,0.6,0.2,-0.4,-2.2,-1.8,1
421,NewcastleH,ManUnitedA,1.8,1.6,5.2,6.6,6.2,5.6,15,15.4,1.4,1.4,0.2,0.2,0.2,-1.4,0.6,-0.4,-1,1
